Suburb,population,schools,Skate_Parks,Sport_Grounds,Playgrounds,Basketball_Courts,crimes,Suburb.1,time_to_TC,closest_TC,time_to_Hospital,closest_Hospital,Recreation&Fitness,crimesPP,Bus_Stops,Fitness_Sites,Unemployment,Transport,Education,Livability,Crime_pred,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4
Chisholm,5145,4,0,2,0,1,110,Chisholm,6.916666666666668,"Tuggeranong Bus Station, ACT",13.4,"Canberra Hospital, ACT",0.55,0.023323615160349854,41,0,3.4,0.034914045328553245,28.896756113335087,95.22022758906638,0,114.58823529411764,114.15686274509802,113.72549019607841,113.29411764705881,112.8627450980392,112.43137254901958,111.99999999999999
Conder,5029,4,1,2,1,0,76,Conder,6.6,"Tuggeranong Bus Station, ACT",16.983333333333334,"Canberra Hospital, ACT",0.6,0.01710081527142573,28,0,3.3,0.0320486994937979,28.860848113410682,95.45414569720772,0,75.64705882352939,72.09803921568626,68.54901960784312,64.99999999999999,61.45098039215685,57.901960784313715,54.35294117647058
Fadden,3012,2,1,0,1,0,40,Fadden,10.35,"Tuggeranong Bus Station, ACT",12.0,"Canberra Hospital, ACT",0.6,0.016600265604249667,26,0,2.1,0.03162087790261578,21.25394591424872,96.629774810963,0,33.71323529411764,33.112745098039206,32.51225490196077,31.91176470588234,31.311274509803912,30.71078431372548,30.110294117647047
Gilmore,2724,2,0,1,0,0,46,Gilmore,9.416666666666666,"Tuggeranong Bus Station, ACT",14.966666666666667,"Canberra Hospital, ACT",0.5,0.020558002936857563,19,0,3.4,0.030017793633216168,21.148111809208373,95.37092228223693,0,46.25735294117648,44.55392156862745,42.85049019607843,41.14705882352941,39.443627450980394,37.740196078431374,36.036764705882355
Gordon,7626,3,0,1,1,1,102,Gordon,6.4833333333333325,"Tuggeranong Bus Station, ACT",16.95,"Canberra Hospital, ACT",0.6,0.014686598478888015,38,0,3.3,0.035957236118820304,24.83155459325253,95.07181132533847,0,89.88235294117648,87.64705882352942,85.41176470588236,83.1764705882353,80.94117647058823,78.70588235294119,76.47058823529412
Gowrie,2969,3,0,1,1,0,59,Gowrie,7.783333333333332,"Tuggeranong Bus Station, ACT",10.816666666666665,"Canberra Hospital, ACT",0.55,0.02324014819804648,21,0,2.0,0.025758902606960548,24.978966382415873,96.49453621878696,0,62.02941176470588,62.07843137254901,62.12745098039215,62.17647058823529,62.225490196078425,62.27450980392156,62.323529411764696
Greenway,1903,0,1,1,2,1,291,Greenway,1.7,"Tuggeranong Bus Station, ACT",15.166666666666664,"Canberra Hospital, ACT",0.7,0.1581713084603258,24,12,7.1,0.02345611503885201,12.240962033836402,90.44871688077615,0,280.8161764705883,275.31862745098044,269.8210784313726,264.3235294117648,258.82598039215696,253.32843137254912,247.83088235294127
Isabella Plains,4331,4,0,1,0,0,60,Isabella Plains,4.5,"Tuggeranong Bus Station, ACT",13.45,"Canberra Hospital, ACT",0.5,0.01616254906488109,20,0,3.4,0.023672437814641956,28.622721377069897,95.20061807741875,0,57.20588235294117,54.25490196078431,51.303921568627445,48.35294117647058,45.401960784313715,42.45098039215685,39.499999999999986
Kambah,14874,8,1,3,3,6,391,Kambah,7.916666666666668,"Tuggeranong Bus Station, ACT",13.25,"Canberra Hospital, ACT",1.0,0.026959795616512034,75,6,3.8,0.04975835066596971,45.074406825419345,94.4963583400209,0,356.31617647058823,355.9656862745098,355.6151960784314,355.2647058823529,354.91421568627453,354.5637254901961,354.2132352941176
Macarthur,1425,0,1,0,1,1,13,Macarthur,9.083333333333334,"Tuggeranong Bus Station, ACT",14.266666666666667,"Canberra Hospital, ACT",0.65,0.016140350877192983,1,0,2.1,0.02177661093196904,13.07818540049488,96.68340917881817,0,19.573529411764703,19.26470588235294,18.955882352941174,18.64705882352941,18.338235294117645,18.029411764705877,17.720588235294116
