Suburb,population,schools,Skate_Parks,Sport_Grounds,Playgrounds,Basketball_Courts,crimes,Suburb.1,bus_to_TC,closest_TC,time_to_Hospital,closest_Hospital,Recreation&Fitness,crimesPP,Bus_Stops,Fitness_Sites,Unemployment,Transport,Education,Livability
Greenway,1903,0,1,1,2,1,291,Greenway,1.7,"Tuggeranong Bus Station, ACT",15.166666666666664,"Canberra Hospital, ACT",0.7,0.1581713084603258,24,12,7.1,0.02345611503885201,12.240962033836402,90.44871688077615
Isabella Plains,4331,4,0,1,0,0,60,Isabella Plains,4.5,"Tuggeranong Bus Station, ACT",13.45,"Canberra Hospital, ACT",0.5,0.01616254906488109,20,0,3.4,0.023672437814641956,28.622721377069897,95.20061807741875
Kambah,14874,8,1,3,3,6,391,Kambah,7.916666666666668,"Tuggeranong Bus Station, ACT",13.25,"Canberra Hospital, ACT",1.0,0.026959795616512034,75,6,3.8,0.04975835066596971,45.074406825419345,94.4963583400209
Macarthur,1425,0,1,0,1,1,13,Macarthur,9.083333333333334,"Tuggeranong Bus Station, ACT",14.266666666666667,"Canberra Hospital, ACT",0.65,0.016140350877192983,1,0,2.1,0.02177661093196904,13.07818540049488,96.68340917881817
Monash,5317,2,0,0,0,1,51,Monash,5.183333333333334,"Tuggeranong Bus Station, ACT",10.433333333333334,"Canberra Hospital, ACT",0.55,0.011472634944517585,36,0,2.0,0.02861326549182123,20.668078547061075,96.28122293747732
Mount Taylor,3,0,0,0,0,0,0,Mount Taylor,6.116666666666666,"Woden Bus Station, ACT",7.816666666666666,"Canberra Hospital, ACT",0.5,3.3333333333333335,0,0,4.1,0.013001143993173769,12.741784138045197,66.81036466398157
Oxley,1723,0,0,0,0,0,24,Oxley,6.35,"Tuggeranong Bus Station, ACT",13.583333333333336,"Canberra Hospital, ACT",0.5,0.019733023795705164,21,0,3.2,0.02628034843245885,12.768242664305285,95.51179011428346
Richardson,2930,2,1,1,0,0,96,Richardson,7.55,"Tuggeranong Bus Station, ACT",14.033333333333333,"Canberra Hospital, ACT",0.55,0.03617747440273038,26,0,3.4,0.03002359057118132,20.936443599127674,95.16284189465196
Theodore,3828,2,0,1,0,0,32,Theodore,7.4833333333333325,"Tuggeranong Bus Station, ACT",17.0,"Canberra Hospital, ACT",0.5,0.0109717868338558,16,7,3.4,0.028183243429483102,20.92888402019622,95.3142638351487
Tuggeranong,31,2,0,0,0,0,0,Tuggeranong,2.8,"Tuggeranong Bus Station, ACT",14.033333333333333,"Canberra Hospital, ACT",0.5,0.3225806451612903,3,0,4.1,0.015283994893216092,20.39782360026161,90.20578753738823
Wanniassa,7458,11,1,2,1,1,262,Wanniassa,6.916666666666668,"Tuggeranong Bus Station, ACT",11.366666666666667,"Canberra Hospital, ACT",0.65,0.036470903727540895,94,0,3.2,0.054889786531957384,57.009205912531876,95.73430994482767
Chapman,2595,2,0,1,1,0,20,Chapman,10.433333333333334,"Woden Bus Station, ACT",12.383333333333333,"Canberra Hospital, ACT",0.55,0.011560693641618497,19,0,2.7,0.02916612899349822,21.26339538791304,96.17240500846992
